Accession	NCBI Family
WP_231869592.1	OXA-48 family class D beta-lactamase
WP_231869594.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869595.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869596.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869597.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869598.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869599.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869600.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869601.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869602.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869603.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869604.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869605.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869606.1	class D beta-lactamase
WP_231869607.1	OXA-294 family class D beta-lactamase
WP_231869608.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869609.1	OXA-294 family class D beta-lactamase
WP_231869610.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869611.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869612.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869613.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869614.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869615.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869616.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869617.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869618.1	OXA-294 family class D beta-lactamase
WP_231869619.1	OXA-294 family class D beta-lactamase
WP_231869620.1	OXA-294 family class D beta-lactamase
WP_231869621.1	OXA-294 family class D beta-lactamase
WP_231869622.1	OXA-294 family class D beta-lactamase
WP_231869623.1	OXA-294 family class D beta-lactamase
WP_231869624.1	class D beta-lactamase
WP_231869625.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869626.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869627.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869628.1	OXA-294 family class D beta-lactamase
WP_231869629.1	class D beta-lactamase
WP_231869630.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869631.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869632.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869633.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869643.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869647.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869649.1	OXA-427 family class D beta-lactamase
WP_237920325.1	class D beta-lactamase
WP_240067726.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_240067727.1	OXA-10 family class D beta-lactamase
WP_240067728.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_240067729.1	OXA-2 family class D beta-lactamase
WP_240067730.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_240067731.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase
WP_240067732.1	OXA-10 family class D beta-lactamase
WP_240067733.1	OXA-48 family class D beta-lactamase
WP_240067734.1	OXA-198 family carbapenem-hydrolyzing class D beta-lactamase
WP_240067735.1	OXA-198 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934079.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934080.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934081.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934082.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934083.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934084.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934085.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934086.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934087.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934088.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934089.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934090.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934091.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934092.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934093.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934094.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934095.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934096.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934097.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934098.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934099.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934100.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934101.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934102.1	OXA-2 family class D beta-lactamase
WP_242934103.1	OXA-2 family class D beta-lactamase
WP_242934104.1	OXA-2 family class D beta-lactamase
WP_242934105.1	OXA-10 family class D beta-lactamase
WP_242934106.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934107.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934108.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934109.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934110.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934111.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934112.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_242934113.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_242934114.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_242934115.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_242934116.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_242934117.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_242934118.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_242934119.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_242934120.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_249828065.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_249828066.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_256875607.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_256875608.1	OXA-10 family class D beta-lactamase
WP_256875609.1	OXA-48 family class D beta-lactamase
WP_256875610.1	OXA-10 family class D beta-lactamase
WP_256875611.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_256875612.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_256875613.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_256875614.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_256875615.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_256875616.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_256875617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_256875618.1	OXA-2 family class D beta-lactamase
WP_256875619.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_256875620.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_256875621.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
WP_256875622.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
WP_000586782.1	oxacillin-hydrolyzing class D beta-lactamase
WP_000713530.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_000722315.1	oxacillin-hydrolyzing class D beta-lactamase
WP_000846390.1	oxacillin-hydrolyzing class D beta-lactamase
WP_000854009.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_000854010.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_001007673.1	oxacillin-hydrolyzing class D beta-lactamase
WP_001021775.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021776.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021777.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021778.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021779.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021780.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021781.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021782.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021783.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021784.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021785.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021786.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021787.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021788.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021789.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021792.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021793.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021794.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021795.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001022756.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001022757.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001022758.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001025292.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001046004.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase
WP_002002480.1	carbapenem-hydrolyzing class D beta-lactamase
WP_002033109.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_002047441.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_002057397.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_002133528.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_002788004.1	OXA-61 family class D beta-lactamase
WP_002872036.1	class D beta-lactamase
WP_002872405.1	OXA-184 family class D beta-lactamase
WP_002893358.1	OXA-184 family class D beta-lactamase
WP_002934081.1	OXA-184 family class D beta-lactamase
WP_003097028.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_003099707.1	oxacillin-hydrolyzing class D beta-lactamase
WP_003161965.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_003651390.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_004295324.1	class D beta-lactamase
WP_004524931.1	OXA-42 family oxacillin-hydrolyzing class D beta-lactamase
WP_004547230.1	OXA-42 family oxacillin-hydrolyzing class D beta-lactamase
WP_004641493.1	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
WP_004647119.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_004650739.1	class D beta-lactamase
WP_004657207.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_004683508.1	class D beta-lactamase
WP_004697403.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_004715243.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_004725235.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
WP_004728961.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_004738885.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_004776204.1	class D beta-lactamase
WP_004792810.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_004814035.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_004816501.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
WP_004825629.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_004867933.1	class D beta-lactamase
WP_004878009.1	class D beta-lactamase
WP_004897444.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_004977701.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_005011312.1	class D beta-lactamase
WP_005025422.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_005034514.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_005041180.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_005047495.1	carbapenem-hydrolyzing class D beta-lactamase
WP_005069609.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_005076320.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_005087154.1	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
WP_005088661.1	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
WP_005104969.1	carbapenem-hydrolyzing class D beta-lactamase
WP_005111033.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_005120067.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_005132156.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_005139262.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_005185807.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_005201559.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_005209448.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_005220450.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_005227858.1	OXA-294 family class D beta-lactamase
WP_005238189.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_005245537.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_005260134.1	OXA-294 family class D beta-lactamase
WP_005268230.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_005282462.1	OXA-294 family class D beta-lactamase
WP_005297518.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_005304617.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_005317413.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
WP_005405099.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_006391197.1	class D beta-lactamase
WP_008942158.1	carbapenem-hydrolyzing class D beta-lactamase
WP_011071128.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_011707905.1	OXA-12 family class D beta-lactamase
WP_012045014.1	class D beta-lactamase
WP_012754353.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_013244277.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_014053563.1	class D beta-lactamase
WP_014386432.1	OXA-2 family oxacillin-hydrolyzing class D beta-lactamase
WP_014454104.1	OXA-10 family class D beta-lactamase
WP_014845076.1	oxacillin-hydrolyzing class D beta-lactamase
WP_014932145.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_014936873.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_015059991.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_015060052.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_016138346.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_016141238.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_016145058.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_016657654.1	carbapenem-hydrolyzing class D beta-lactamase
WP_017002439.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_017386798.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_017816859.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_019396295.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_020836977.1	OXA-61 family class D beta-lactamase
WP_021139936.1	class D beta-lactamase
WP_023096365.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_023097100.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_023107469.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_023122435.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_024433915.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_024438993.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_025889747.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
WP_029305121.1	OXA-12 family class D beta-lactamase
WP_029424390.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_031960432.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_031963705.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_031976872.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_031978611.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_032000166.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_032025569.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_032030965.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_032037742.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_032051604.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_032058439.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_032410229.1	OXA-10 family class D beta-lactamase
WP_032488483.1	oxacillin-hydrolyzing class D beta-lactamase
WP_032489753.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_032490053.1	OXA-1 family extended-spectrum class D beta-lactamase
WP_032490445.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
WP_032490448.1	OXA-1 family class D beta-lactamase
WP_032490761.1	extended-spectrum class D beta-lactamase
WP_032491311.1	OXA-1 family oxacillin-hydrolyzing class D beta-lactamase
WP_032491656.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_032491804.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_032492122.1	OXA-5 family class D beta-lactamase
WP_032495449.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_032495517.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_032495518.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_032495595.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_032495764.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
WP_032495789.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_032835180.1	oxacillin-hydrolyzing class D beta-lactamase
WP_033841866.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_033887259.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_033937969.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_033954903.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_033955867.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_033968246.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_033978625.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_033989974.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_034005326.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_034006563.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_034025854.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_034027761.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_034033256.1	OXA-2 family class D beta-lactamase
WP_034033411.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_034612711.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
WP_034670108.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_034688190.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_037414505.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_037428895.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_038348285.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_038348482.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_038348957.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_038813458.1	OXA-61 family class D beta-lactamase
WP_038851696.1	OXA-61 family class D beta-lactamase
WP_039099030.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_039208445.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_042088348.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_042962442.1	OXA-61 family class D beta-lactamase
WP_043907054.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_045219048.1	OXA-22 family class D beta-lactamase
WP_045219469.1	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
WP_046661070.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_046811527.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_046991607.1	class D beta-lactamase
WP_048627819.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
WP_048806429.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
WP_048880934.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_049044515.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_049068184.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_049291121.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_049581961.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_051601260.1	carbapenem-hydrolyzing class D beta-lactamase
WP_052248074.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
WP_052266736.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
WP_052793969.1	OXA-184 family class D beta-lactamase
WP_052805187.1	OXA-61 family class D beta-lactamase
WP_054428802.1	OXA-364 family class D beta-lactamase
WP_054505840.1	class D beta-lactamase
WP_057046497.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_057053864.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_057066208.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_057089822.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_057094079.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_057387633.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_057689930.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_058017838.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_058052637.1	OXA-12 family class D beta-lactamase
WP_058132644.1	OXA-2 family class D beta-lactamase
WP_058142895.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_058177653.1	OXA-2 family extended-spectrum class D beta-lactamase
WP_058354753.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_058375744.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
WP_058842180.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_059262713.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_060613455.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
