	NCBI Sequence ID	NCBI Sequence Accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 symbol	AMRFinderPlus v3.10.40 with 2022-08-09.1 accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 drug class	RGI v5.2.1 with v3.2.4 symbol	RGI v5.2.1 with v3.2.4 accession	RGI v5.2.1 with v3.2.4 drug class
597	OXA-867	WP_152315480.1	OXA-867	WP_152315480.1	beta-lactam	OXA-867	WP_152315480.1	carbapenem/cephalosporin/penam
598	OXA-868	WP_152315481.1	OXA-868	WP_152315481.1	beta-lactam	OXA-868	WP_152315481.1	carbapenem/cephalosporin/penam
599	OXA-869	WP_152315482.1	OXA-869	WP_152315482.1	beta-lactam	OXA-869	WP_152315482.1	carbapenem/cephalosporin/penam
600	OXA-870	WP_152315483.1	OXA-870	WP_152315483.1	beta-lactam	OXA-870	WP_152315483.1	carbapenem/cephalosporin/penam
601	OXA-871	WP_152315484.1	OXA-871	WP_152315484.1	beta-lactam	OXA-871	WP_152315484.1	carbapenem/cephalosporin/penam
602	OXA-872	WP_152315485.1	OXA-872	WP_152315485.1	beta-lactam	OXA-872	WP_152315485.1	carbapenem/cephalosporin/penam
603	OXA-873	WP_152315486.1	OXA-873	WP_152315486.1	beta-lactam	OXA-873	WP_152315486.1	carbapenem/cephalosporin/penam
604	OXA-874	WP_152315487.1	OXA-874	WP_152315487.1	beta-lactam	OXA-874	WP_152315487.1	carbapenem/cephalosporin/penam
605	OXA-875	WP_152315488.1	OXA-875	WP_152315488.1	beta-lactam	OXA-875	WP_152315488.1	carbapenem/cephalosporin/penam
606	OXA-876	WP_152315489.1	OXA-876	WP_152315489.1	beta-lactam	OXA-876	WP_152315489.1	carbapenem/cephalosporin/penam
607	OXA-877	WP_152315490.1	OXA-877	WP_152315490.1	beta-lactam	OXA-877	WP_152315490.1	carbapenem/cephalosporin/penam
608	OXA-878	WP_152315491.1	OXA-878	WP_152315491.1	beta-lactam	OXA-878	WP_152315491.1	carbapenem/cephalosporin/penam
609	OXA-879	WP_152315492.1	OXA-879	WP_152315492.1	beta-lactam	OXA-879	WP_152315492.1	carbapenem/cephalosporin/penam
610	OXA-880	WP_152315493.1	OXA-880	WP_152315493.1	beta-lactam	OXA-880	WP_152315493.1	carbapenem/cephalosporin/penam
611	OXA-881	WP_152315494.1	OXA-881	WP_152315494.1	beta-lactam	OXA-881	WP_152315494.1	carbapenem/cephalosporin/penam
612	OXA-882	WP_152315495.1	OXA-882	WP_152315495.1	beta-lactam	OXA-882	WP_152315495.1	carbapenem/cephalosporin/penam
613	OXA-883	WP_152315496.1	OXA-883	WP_152315496.1	beta-lactam	OXA-883	WP_152315496.1	carbapenem/cephalosporin/penam
614	OXA-884	WP_152315497.1	OXA-884	WP_152315497.1	beta-lactam	OXA-884	WP_152315497.1	carbapenem/cephalosporin/penam
615	OXA-885	WP_152315498.1	OXA-885	WP_152315498.1	beta-lactam	OXA-885	WP_152315498.1	carbapenem/cephalosporin/penam
616	OXA-886	WP_152315499.1	OXA-886	WP_152315499.1	beta-lactam	OXA-886	WP_152315499.1	carbapenem/cephalosporin/penam
617	OXA-887	WP_152315500.1	OXA-887	WP_152315500.1	beta-lactam	OXA-887	WP_152315500.1	carbapenem/cephalosporin/penam
618	OXA-888	WP_152315501.1	OXA-888	WP_152315501.1	beta-lactam	OXA-888	WP_152315501.1	carbapenem/cephalosporin/penam
619	OXA-889	WP_152315502.1	OXA-889	WP_152315502.1	beta-lactam	OXA-889	WP_152315502.1	carbapenem/cephalosporin/penam
620	OXA-890	WP_152315503.1	OXA-890	WP_152315503.1	beta-lactam	OXA-890	WP_152315503.1	carbapenem/cephalosporin/penam
621	OXA-891	WP_152315504.1	OXA-891	WP_152315504.1	beta-lactam	OXA-891	WP_152315504.1	carbapenem/cephalosporin/penam
622	OXA-892	WP_152315505.1	OXA-892	WP_152315505.1	beta-lactam	OXA-892	WP_152315505.1	carbapenem/cephalosporin/penam
623	OXA-899	WP_154205474.1	OXA-899	WP_154205474.1	beta-lactam	OXA-899	QHT72949.1	carbapenem/cephalosporin/penam
624	OXA-898	WP_154205589.1	OXA-898	WP_154205589.1	beta-lactam	OXA-898	QHT72948.1	carbapenem/cephalosporin/penam
625	OXA-896	WP_156404658.1	OXA-896	WP_156404658.1	beta-lactam	OXA-896	WP_156404658.1	carbapenem/cephalosporin/penam
626	OXA-917	WP_161507793.1	OXA-917	WP_161507793.1	carbapenem	OXA-917	WP_161507793.1	carbapenem/cephalosporin/penam
627	OXA-909	WP_162278338.1	OXA-909	WP_162278338.1	beta-lactam	OXA-909	WP_162278338.1	carbapenem/cephalosporin/penam
628	OXA-910	WP_162280230.1	OXA-910	WP_162280230.1	beta-lactam	OXA-910	WP_162280230.1	carbapenem/cephalosporin/penam
629	OXA-1005	WP_163170629.1	OXA-1005	WP_163170629.1	carbapenem	OXA-363	AHA11126.1	carbapenem/cephalosporin/penam
630	OXA-897	WP_164461290.1	OXA-897	WP_164461290.1	carbapenem	OXA-897	WP_164461290.1	carbapenem/cephalosporin/penam
631	OXA-903	WP_164461291.1	OXA-903	WP_164461291.1	beta-lactam	OXA-903	WP_164461291.1	carbapenem/cephalosporin/penam
632	OXA-907	WP_164461292.1	OXA-907	WP_164461292.1	beta-lactam	OXA-907	WP_164461292.1	carbapenem/cephalosporin/penam
633	OXA-911	WP_168247884.1	OXA-911	WP_168247884.1	carbapenem	OXA-911	WP_168247884.1	carbapenem/cephalosporin/penam
634	OXA-915	WP_168370988.1	OXA-915	WP_168370988.1	carbapenem	OXA-915	WP_168370988.1	carbapenem/cephalosporin/penam
635	OXA-916	WP_171476790.1	OXA-916	WP_171476790.1	beta-lactam	OXA-916	WP_171476790.1	carbapenem/cephalosporin/penam
636	OXA-900	WP_178317675.1	OXA-900	WP_178317675.1	carbapenem	OXA-900	WP_178317675.1	carbapenem/cephalosporin/penam
637	OXA-918	WP_179284333.1	OXA-918	WP_179284333.1	beta-lactam	OXA-918	WP_179284333.1	carbapenem/cephalosporin/penam
638	OXA-920	WP_179284336.1	OXA-920	WP_179284336.1	beta-lactam	OXA-920	WP_179284336.1	carbapenem/cephalosporin/penam
639	OXA-921	WP_179284339.1	OXA-921	WP_179284339.1	beta-lactam	OXA-921	WP_179284339.1	carbapenem/cephalosporin/penam
640	OXA-923	WP_179284342.1	OXA-923	WP_179284342.1	beta-lactam	OXA-923	WP_179284342.1	carbapenem/cephalosporin/penam
641	OXA-924	WP_179284345.1	OXA-924	WP_179284345.1	beta-lactam	OXA-924	WP_179284345.1	carbapenem/cephalosporin/penam
642	OXA-922	WP_188331876.1	OXA-922	WP_188331876.1	beta-lactam	OXA-922	WP_188331876.1	carbapenem/cephalosporin/penam
643	OXA-928	WP_188331877.1	OXA-928	WP_188331877.1	beta-lactam	OXA-928	WP_188331877.1	carbapenem/cephalosporin/penam
644	OXA-929	WP_188331878.1	OXA-929	WP_188331878.1	beta-lactam	OXA-929	WP_188331878.1	carbapenem/cephalosporin/penam
645	OXA-931	WP_190259776.1	OXA-931	WP_190259776.1	beta-lactam	OXA-931	WP_190259776.1	carbapenem/cephalosporin/penam
646	OXA-893	WP_194293137.1	OXA-893	WP_194293137.1	carbapenem	OXA-893	WP_194293137.1	carbapenem/cephalosporin/penam
647	OXA-1019	WP_196658681.1	OXA-1019	WP_196658681.1	beta-lactam	OXA-50	AAQ76277.1	carbapenem/cephalosporin/penam
648	OXA-945	WP_204376235.1	OXA-945	WP_204376235.1	beta-lactam	OXA-945	WP_204376235.1	carbapenem/cephalosporin/penam
649	OXA-946	WP_204376236.1	OXA-946	WP_204376236.1	carbapenem	OXA-946	WP_204376236.1	carbapenem/cephalosporin/penam
650	OXA-947	WP_204376237.1	OXA-947	WP_204376237.1	carbapenem	OXA-947	WP_204376237.1	carbapenem/cephalosporin/penam
651	OXA-948	WP_204376238.1	OXA-948	WP_204376238.1	carbapenem	OXA-948	WP_204376238.1	carbapenem/cephalosporin/penam
652	OXA-949	WP_204376239.1	OXA-949	WP_204376239.1	carbapenem	OXA-949	WP_204376239.1	carbapenem/cephalosporin/penam
653	OXA-1011	WP_211816370.1	OXA-1011	WP_211816370.1	beta-lactam	OXA-732	WP_072678505.1	carbapenem/cephalosporin/penam
654	OXA-1047	WP_213384363.1	OXA-1047	WP_213384363.1	beta-lactam	OXA-66	ABK34774.1	carbapenem/cephalosporin/penam
655	OXA-790	WP_213994595.1	OXA-790	WP_213994595.1	beta-lactam	OXA-114h	WP_053498400.1	carbapenem/cephalosporin/penam
656	OXA-791	WP_213994596.1	OXA-791	WP_213994596.1	beta-lactam	OXA-114i	WP_026382828.1	carbapenem/cephalosporin/penam
657	OXA-951	WP_213994597.1	OXA-951	WP_213994597.1	beta-lactam	OXA-726	WP_101150415.1	carbapenem/cephalosporin/penam
658	OXA-952	WP_213994598.1	OXA-952	WP_213994598.1	beta-lactam	OXA-355	AGW83453.1	carbapenem/cephalosporin/penam
659	OXA-954	WP_213994599.1	OXA-954	WP_213994599.1	beta-lactam	OXA-91	ABF47914.1	carbapenem/cephalosporin/penam
660	OXA-955	WP_213994600.1	OXA-955	WP_213994600.1	beta-lactam	OXA-79	ABV71246.1	carbapenem/cephalosporin/penam
661	OXA-960	WP_213994601.1	OXA-960	WP_213994601.1	beta-lactam	OXA-729	WP_114699266.1	carbapenem/cephalosporin/penam
662	OXA-961	WP_213994602.1	OXA-961	WP_213994602.1	beta-lactam	OXA-729	WP_114699266.1	carbapenem/cephalosporin/penam
663	OXA-963	WP_213994603.1	OXA-963	WP_213994603.1	beta-lactam	OXA-729	WP_114699266.1	carbapenem/cephalosporin/penam
664	OXA-965	WP_213994604.1	OXA-965	WP_213994604.1	beta-lactam	OXA-729	WP_114699266.1	carbapenem/cephalosporin/penam
665	OXA-1076	WP_215763651.1	OXA-1076	WP_215763651.1	beta-lactam	OXA-71	AAW81342.1	carbapenem/cephalosporin/penam
666	OXA-957	WP_219860714.1	OXA-957	WP_219860714.1	beta-lactam			
667	OXA-1013	WP_219860726.1	OXA-1013	WP_219860726.1	beta-lactam	OXA-64	AAW81336.1	carbapenem/cephalosporin/penam
668	OXA-1015	WP_219860727.1	OXA-1015	WP_219860727.1	beta-lactam	OXA-35	AAK49460.1	carbapenem/cephalosporin/penam
669	OXA-1016	WP_219860728.1	OXA-1016	WP_219860728.1	carbapenem	OXA-641	WP_109545072.1	carbapenem/cephalosporin/penam
670	OXA-1017	WP_219860730.1	OXA-1017	WP_219860730.1	beta-lactam	OXA-2	AAB59082.1	carbapenem/cephalosporin/penam
671	OXA-1018	WP_223146972.1	OXA-1018	WP_223146972.1	beta-lactam	OXA-50	AAQ76277.1	carbapenem/cephalosporin/penam
672	OXA-1031	WP_223146973.1	OXA-1031	WP_223146973.1	beta-lactam	OXA-851	WP_014603442.1	carbapenem/cephalosporin/penam
673	OXA-1042	WP_231869587.1	OXA-1042	WP_231869587.1	beta-lactam	OXA-1	AFB82783.1	carbapenem/cephalosporin/penam
674	OXA-933	WP_231869591.1	OXA-933	WP_231869591.1	beta-lactam	OXA-48	AAP70012.1	carbapenem/cephalosporin/penam
675	OXA-934	WP_231869592.1	OXA-934	WP_231869592.1	beta-lactam	OXA-48	AAP70012.1	carbapenem/cephalosporin/penam
676	OXA-967	WP_231869594.1	OXA-967	WP_231869594.1	carbapenem	OXA-815	WP_111280830.1	carbapenem/cephalosporin/penam
677	OXA-968	WP_231869595.1	OXA-968	WP_231869595.1	carbapenem	OXA-103	ENV88740.1	carbapenem/cephalosporin/penam
678	OXA-969	WP_231869596.1	OXA-969	WP_231869596.1	carbapenem	OXA-817	WP_075040046.1	carbapenem/cephalosporin/penam
679	OXA-970	WP_231869597.1	OXA-970	WP_231869597.1	beta-lactam	OXA-65	AAW81337.1	carbapenem/cephalosporin/penam
680	OXA-971	WP_231869598.1	OXA-971	WP_231869598.1	beta-lactam	OXA-104	ABQ52429.1	carbapenem/cephalosporin/penam
681	OXA-972	WP_231869599.1	OXA-972	WP_231869599.1	beta-lactam	OXA-716	WP_031998610.1	carbapenem/cephalosporin/penam
682	OXA-973	WP_231869600.1	OXA-973	WP_231869600.1	beta-lactam	OXA-70	AAW81341.1	carbapenem/cephalosporin/penam
683	OXA-974	WP_231869601.1	OXA-974	WP_231869601.1	beta-lactam	OXA-71	AAW81342.1	carbapenem/cephalosporin/penam
684	OXA-975	WP_231869602.1	OXA-975	WP_231869602.1	beta-lactam	OXA-683	WP_122630885.1	carbapenem/cephalosporin/penam
685	OXA-977	WP_231869603.1	OXA-977	WP_231869603.1	beta-lactam	OXA-259	AGV04655.1	carbapenem/cephalosporin/penam
686	OXA-978	WP_231869604.1	OXA-978	WP_231869604.1	beta-lactam	OXA-502	WP_032003497.1	carbapenem/cephalosporin/penam
687	OXA-979	WP_231869605.1	OXA-979	WP_231869605.1	beta-lactam	OXA-678	WP_122630860.1	carbapenem/cephalosporin/penam
688	OXA-981	WP_231869606.1	OXA-981	WP_231869606.1	beta-lactam	OXA-308	ENV32314.1	carbapenem/cephalosporin/penam
689	OXA-982	WP_231869607.1	OXA-982	WP_231869607.1	beta-lactam	OXA-295	ENX19403.1	carbapenem/cephalosporin/penam
690	OXA-983	WP_231869608.1	OXA-983	WP_231869608.1	beta-lactam	OXA-355	AGW83453.1	carbapenem/cephalosporin/penam
691	OXA-984	WP_231869609.1	OXA-984	WP_231869609.1	beta-lactam	OXA-298	ENX40034.1	carbapenem/cephalosporin/penam
692	OXA-985	WP_231869610.1	OXA-985	WP_231869610.1	beta-lactam	OXA-819	WP_032053762.1	carbapenem/cephalosporin/penam
693	OXA-986	WP_231869611.1	OXA-986	WP_231869611.1	beta-lactam	OXA-502	WP_032003497.1	carbapenem/cephalosporin/penam
694	OXA-987	WP_231869612.1	OXA-987	WP_231869612.1	beta-lactam	OXA-358	AGZ83154.1	carbapenem/cephalosporin/penam
695	OXA-988	WP_231869613.1	OXA-988	WP_231869613.1	beta-lactam	OXA-272	ENW16915.1	carbapenem/cephalosporin/penam
696	OXA-989	WP_231869614.1	OXA-989	WP_231869614.1	beta-lactam	OXA-678	WP_122630860.1	carbapenem/cephalosporin/penam
697	OXA-990	WP_231869615.1	OXA-990	WP_231869615.1	beta-lactam	OXA-349	AGW83447.1	carbapenem/cephalosporin/penam
698	OXA-991	WP_231869616.1	OXA-991	WP_231869616.1	carbapenem	OXA-537	WP_070064536.1	carbapenem/cephalosporin/penam
699	OXA-992	WP_231869617.1	OXA-992	WP_231869617.1	beta-lactam	OXA-832	WP_086264536.1	carbapenem/cephalosporin/penam
700	OXA-993	WP_231869618.1	OXA-993	WP_231869618.1	beta-lactam	OXA-295	ENX19403.1	carbapenem/cephalosporin/penam
701	OXA-994	WP_231869619.1	OXA-994	WP_231869619.1	beta-lactam	OXA-295	ENX19403.1	carbapenem/cephalosporin/penam
702	OXA-995	WP_231869620.1	OXA-995	WP_231869620.1	beta-lactam	OXA-297	ENX09209.1	carbapenem/cephalosporin/penam
703	OXA-996	WP_231869621.1	OXA-996	WP_231869621.1	beta-lactam	OXA-298	ENX40034.1	carbapenem/cephalosporin/penam
704	OXA-997	WP_231869622.1	OXA-997	WP_231869622.1	beta-lactam	OXA-295	ENX19403.1	carbapenem/cephalosporin/penam
705	OXA-998	WP_231869623.1	OXA-998	WP_231869623.1	beta-lactam	OXA-297	ENX09209.1	carbapenem/cephalosporin/penam
706	OXA-999	WP_231869624.1	OXA-999	WP_231869624.1	beta-lactam	OXA-308	ENV32314.1	carbapenem/cephalosporin/penam
707	OXA-1000	WP_231869625.1	OXA-1000	WP_231869625.1	beta-lactam	OXA-533	WP_068611377.1	carbapenem/cephalosporin/penam
708	OXA-1002	WP_231869626.1	OXA-1002	WP_231869626.1	beta-lactam	OXA-840	WP_150823472.1	carbapenem/cephalosporin/penam
709	OXA-1003	WP_231869627.1	OXA-1003	WP_231869627.1	beta-lactam	OXA-805	WP_136512096.1	carbapenem/cephalosporin/penam
710	OXA-1004	WP_231869628.1	OXA-1004	WP_231869628.1	beta-lactam	OXA-297	ENX09209.1	carbapenem/cephalosporin/penam
711	OXA-1006	WP_231869629.1	OXA-1006	WP_231869629.1	beta-lactam			
712	OXA-1007	WP_231869630.1	OXA-1007	WP_231869630.1	beta-lactam	OXA-805	WP_136512096.1	carbapenem/cephalosporin/penam
713	OXA-1008	WP_231869631.1	OXA-1008	WP_231869631.1	beta-lactam	OXA-678	WP_122630860.1	carbapenem/cephalosporin/penam
714	OXA-1009	WP_231869632.1	OXA-1009	WP_231869632.1	beta-lactam	OXA-332	AGW16414.1	carbapenem/cephalosporin/penam
715	OXA-1010	WP_231869633.1	OXA-1010	WP_231869633.1	beta-lactam	OXA-842	WP_087088911.1	carbapenem/cephalosporin/penam
716	OXA-1038	WP_231869643.1	OXA-1038	WP_231869643.1	beta-lactam	OXA-894	WP_144376393.1	carbapenem/cephalosporin/penam
717	OXA-1040	WP_231869647.1	OXA-1040	WP_231869647.1	carbapenem	OXA-653	WP_087554513.1	carbapenem/cephalosporin/penam
718	OXA-1041	WP_231869649.1	OXA-1041	WP_231869649.1	beta-lactam			
719	OXA-1108	WP_237920325.1	OXA-1108	WP_237920325.1	beta-lactam	OXA-464	ANW35663.1	carbapenem/cephalosporin/penam
720	OXA-1044	WP_240067726.1	OXA-1044	WP_240067726.1	beta-lactam	OXA-643	WP_140423312.1	carbapenem/cephalosporin/penam
721	OXA-1046	WP_240067727.1	OXA-1046	WP_240067727.1	beta-lactam	OXA-520	WP_065159014.1	carbapenem/cephalosporin/penam
722	OXA-1048	WP_240067728.1	OXA-1048	WP_240067728.1	beta-lactam	OXA-91	ABF47914.1	carbapenem/cephalosporin/penam
723	OXA-1049	WP_240067729.1	OXA-1049	WP_240067729.1	beta-lactam	OXA-15	AAB05874.1	carbapenem/cephalosporin/penam
724	OXA-1050	WP_240067730.1	OXA-1050	WP_240067730.1	beta-lactam	OXA-822	WP_133973918.1	carbapenem/cephalosporin/penam
725	OXA-1051	WP_240067731.1	OXA-1051	WP_240067731.1	carbapenem	OXA-949	WP_204376239.1	carbapenem/cephalosporin/penam
726	OXA-1053	WP_240067732.1	OXA-1053	WP_240067732.1	beta-lactam	OXA-101	CAL85435.1	carbapenem/cephalosporin/penam
727	OXA-1055	WP_240067733.1	OXA-1055	WP_240067733.1	beta-lactam	OXA-793	WP_136512085.1	carbapenem/cephalosporin/penam
728	OXA-1056	WP_240067734.1	OXA-1056	WP_240067734.1	carbapenem			
729	OXA-1057	WP_240067735.1	OXA-1057	WP_240067735.1	carbapenem			
730	OXA-1058	WP_242934079.1	OXA-1058	WP_242934079.1	beta-lactam	OXA-66	ABK34774.1	carbapenem/cephalosporin/penam
731	OXA-1059	WP_242934080.1	OXA-1059	WP_242934080.1	beta-lactam	OXA-508	WP_063864150.1	carbapenem/cephalosporin/penam
732	OXA-1060	WP_242934081.1	OXA-1060	WP_242934081.1	beta-lactam	OXA-508	WP_063864150.1	carbapenem/cephalosporin/penam
733	OXA-1061	WP_242934082.1	OXA-1061	WP_242934082.1	beta-lactam	OXA-508	WP_063864150.1	carbapenem/cephalosporin/penam
734	OXA-1062	WP_242934083.1	OXA-1062	WP_242934083.1	beta-lactam	OXA-234	WP_038350216.1	carbapenem/cephalosporin/penam
735	OXA-1063	WP_242934084.1	OXA-1063	WP_242934084.1	beta-lactam	OXA-508	WP_063864150.1	carbapenem/cephalosporin/penam
736	OXA-1064	WP_242934085.1	OXA-1064	WP_242934085.1	beta-lactam	OXA-508	WP_063864150.1	carbapenem/cephalosporin/penam
737	OXA-1065	WP_242934086.1	OXA-1065	WP_242934086.1	beta-lactam	OXA-90	CAJ77809.1	carbapenem/cephalosporin/penam
738	OXA-1066	WP_242934087.1	OXA-1066	WP_242934087.1	beta-lactam	OXA-65	AAW81337.1	carbapenem/cephalosporin/penam
739	OXA-1067	WP_242934088.1	OXA-1067	WP_242934088.1	beta-lactam	OXA-68	AAW81339.1	carbapenem/cephalosporin/penam
740	OXA-1068	WP_242934089.1	OXA-1068	WP_242934089.1	beta-lactam	OXA-68	AAW81339.1	carbapenem/cephalosporin/penam
741	OXA-1069	WP_242934090.1	OXA-1069	WP_242934090.1	beta-lactam	OXA-91	ABF47914.1	carbapenem/cephalosporin/penam
742	OXA-1070	WP_242934091.1	OXA-1070	WP_242934091.1	beta-lactam	OXA-65	AAW81337.1	carbapenem/cephalosporin/penam
743	OXA-1071	WP_242934092.1	OXA-1071	WP_242934092.1	beta-lactam	OXA-555	WP_085562409.1	carbapenem/cephalosporin/penam
744	OXA-1072	WP_242934093.1	OXA-1072	WP_242934093.1	beta-lactam	OXA-555	WP_085562409.1	carbapenem/cephalosporin/penam
745	OXA-1073	WP_242934094.1	OXA-1073	WP_242934094.1	beta-lactam	OXA-510	WP_068981635.1	carbapenem/cephalosporin/penam
746	OXA-1074	WP_242934095.1	OXA-1074	WP_242934095.1	beta-lactam	OXA-120	CCJ32595.1	carbapenem/cephalosporin/penam
747	OXA-1075	WP_242934096.1	OXA-1075	WP_242934096.1	beta-lactam	OXA-91	ABF47914.1	carbapenem/cephalosporin/penam
748	OXA-1077	WP_242934097.1	OXA-1077	WP_242934097.1	beta-lactam	OXA-715	WP_016685888.1	carbapenem/cephalosporin/penam
749	OXA-1078	WP_242934098.1	OXA-1078	WP_242934098.1	beta-lactam	OXA-940	WP_086442870.1	carbapenem/cephalosporin/penam
750	OXA-1079	WP_242934099.1	OXA-1079	WP_242934099.1	beta-lactam	OXA-120	CCJ32595.1	carbapenem/cephalosporin/penam
751	OXA-1080	WP_242934100.1	OXA-1080	WP_242934100.1	beta-lactam	OXA-66	ABK34774.1	carbapenem/cephalosporin/penam
752	OXA-1081	WP_242934101.1	OXA-1081	WP_242934101.1	carbapenem	OXA-897	WP_164461290.1	carbapenem/cephalosporin/penam
753	OXA-1082	WP_242934102.1	OXA-1082	WP_242934102.1	beta-lactam	OXA-141	ABQ15112.1	carbapenem/cephalosporin/penam
754	OXA-1084	WP_242934103.1	OXA-1084	WP_242934103.1	beta-lactam	OXA-2	AAB59082.1	carbapenem/cephalosporin/penam
755	OXA-1085	WP_242934104.1	OXA-1085	WP_242934104.1	beta-lactam	OXA-210	AEE61368.1	carbapenem/cephalosporin/penam
756	OXA-1086	WP_242934105.1	OXA-1086	WP_242934105.1	beta-lactam	OXA-520	WP_065159014.1	carbapenem/cephalosporin/penam
757	OXA-1092	WP_242934106.1	OXA-1092	WP_242934106.1	beta-lactam	OXA-688	WP_122630890.1	carbapenem/cephalosporin/penam
758	OXA-1093	WP_242934107.1	OXA-1093	WP_242934107.1	beta-lactam	OXA-862	WP_152315475.1	carbapenem/cephalosporin/penam
759	OXA-1094	WP_242934108.1	OXA-1094	WP_242934108.1	beta-lactam	OXA-69	CAM86994.1	carbapenem/cephalosporin/penam
760	OXA-1095	WP_242934109.1	OXA-1095	WP_242934109.1	carbapenem	OXA-146	ACI28281.1	carbapenem/cephalosporin/penam
761	OXA-1096	WP_242934110.1	OXA-1096	WP_242934110.1	beta-lactam	OXA-69	CAM86994.1	carbapenem/cephalosporin/penam
762	OXA-1097	WP_242934111.1	OXA-1097	WP_242934111.1	beta-lactam	OXA-66	ABK34774.1	carbapenem/cephalosporin/penam
763	OXA-1098	WP_242934112.1	OXA-1098	WP_242934112.1	beta-lactam	OXA-66	ABK34774.1	carbapenem/cephalosporin/penam
764	OXA-1100	WP_242934113.1	OXA-1100	WP_242934113.1	beta-lactam	OXA-479	ALC79294.1	carbapenem/cephalosporin/penam
765	OXA-1101	WP_242934114.1	OXA-1101	WP_242934114.1	beta-lactam	OXA-136	ABW76134.1	carbapenem/cephalosporin/penam
766	OXA-1102	WP_242934115.1	OXA-1102	WP_242934115.1	beta-lactam			
767	OXA-1103	WP_242934116.1	OXA-1103	WP_242934116.1	beta-lactam			
768	OXA-1104	WP_242934117.1	OXA-1104	WP_242934117.1	beta-lactam			
769	OXA-1105	WP_242934118.1	OXA-1105	WP_242934118.1	beta-lactam			
770	OXA-1106	WP_242934119.1	OXA-1106	WP_242934119.1	beta-lactam			
771	OXA-1107	WP_242934120.1	OXA-1107	WP_242934120.1	beta-lactam			
772	OXA-1117	WP_249828065.1	OXA-1117	WP_249828065.1	beta-lactam	OXA-98	CAK50801.1	carbapenem/cephalosporin/penam
773	OXA-1118	WP_249828066.1	OXA-1118	WP_249828066.1	beta-lactam	OXA-90	CAJ77809.1	carbapenem/cephalosporin/penam
774	OXA-1052	WP_256875607.1	OXA-1052	WP_256875607.1	beta-lactam	OXA-355	AGW83453.1	carbapenem/cephalosporin/penam
775	OXA-1087	WP_256875608.1	OXA-1087	WP_256875608.1	beta-lactam	OXA-19	AAD02245.1	carbapenem/cephalosporin/penam
776	OXA-1119	WP_256875609.1	OXA-1119	WP_256875609.1	beta-lactam	OXA-181	AEP16366.1	carbapenem/cephalosporin/penam
777	OXA-1120	WP_256875610.1	OXA-1120	WP_256875610.1	beta-lactam	OXA-35	AAK49460.1	carbapenem/cephalosporin/penam
778	OXA-1121	WP_256875611.1	OXA-1121	WP_256875611.1	beta-lactam	OXA-262	ENW50687.1	carbapenem/cephalosporin/penam
779	OXA-1122	WP_256875612.1	OXA-1122	WP_256875612.1	beta-lactam	OXA-65	AAW81337.1	carbapenem/cephalosporin/penam
780	OXA-1123	WP_256875613.1	OXA-1123	WP_256875613.1	beta-lactam	OXA-51	CAC83905.2	carbapenem/cephalosporin/monobactam/penam
781	OXA-1126	WP_256875614.1	OXA-1126	WP_256875614.1	beta-lactam	OXA-494	WP_003118452.1	carbapenem/cephalosporin/penam
782	OXA-1128	WP_256875615.1	OXA-1128	WP_256875615.1	beta-lactam	OXA-50	AAQ76277.1	carbapenem/cephalosporin/penam
783	OXA-1130	WP_256875616.1	OXA-1130	WP_256875616.1	beta-lactam	OXA-904	WP_003122322.1	carbapenem/cephalosporin/penam
784	OXA-1134	WP_256875617.1	OXA-1134	WP_256875617.1	beta-lactam	OXA-846	QEJ80883.1	carbapenem/cephalosporin/penam
785	OXA-1136	WP_256875618.1	OXA-1136	WP_256875618.1	beta-lactam	OXA-21	CAA71699.2	carbapenem/cephalosporin/penam
786	OXA-1137	WP_256875619.1	OXA-1137	WP_256875619.1	beta-lactam	OXA-270	EOQ69512.1	carbapenem/cephalosporin/penam
787	OXA-1138	WP_256875620.1	OXA-1138	WP_256875620.1	beta-lactam	OXA-500	WP_002121386.1	carbapenem/cephalosporin/penam
788	OXA-1139	WP_256875621.1	OXA-1139	WP_256875621.1	beta-lactam	OXA-499	WP_063864112.1	carbapenem/cephalosporin/penam
789	OXA-944	WP_256875622.1	OXA-944	WP_256875622.1	carbapenem	OXA-274	EPH38243.1	carbapenem/cephalosporin/penam
790	OXA-20	WP_000586782.1	OXA-20	WP_000586782.1	beta-lactam	OXA-20	ACC55538.1	carbapenem/cephalosporin/penam
791	OXA-72	WP_000713530.1	OXA-72	WP_000713530.1	carbapenem	OXA-72	ADB28892.1	carbapenem/cephalosporin/penam
792	OXA-9	WP_000722315.1	OXA-9	WP_000722315.1	beta-lactam	OXA-9	AAA98406.1	carbapenem/cephalosporin/penam
793	OXA-10	WP_000846390.1	OXA-10	WP_000846390.1	cephalosporin	OXA-10	AAG45720.1	carbapenem/cephalosporin/penam
794	OXA-235	WP_000854009.1	OXA-235	WP_000854009.1	carbapenem	OXA-235	AFH36330.1	carbapenem/cephalosporin/penam
795	OXA-237	WP_000854010.1	OXA-237	WP_000854010.1	carbapenem	OXA-237	AFH36331.1	carbapenem/cephalosporin/penam
796	OXA-2	WP_001007673.1	OXA-2	WP_001007673.1	beta-lactam	OXA-2	AAB59082.1	carbapenem/cephalosporin/penam
