Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
2214661681|WP_242934120.1|1|1|blaOXA-1107|blaOXA-63_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-63_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1107	blaOXA-1107	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-1107	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	269	269	100.00	100.00	269	WP_242934120.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-1107	NF000429.2	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
2244222087|WP_249828065.1|1|1|blaOXA-1117|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1117	blaOXA-1117	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1117	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_249828065.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1117	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2244222088|WP_249828066.1|1|1|blaOXA-1118|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1118	blaOXA-1118	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1118	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_249828066.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1118	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2282573671|WP_256875607.1|1|1|blaOXA-1052|blaOXA-229_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-229_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1052	blaOXA-1052	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-1052	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	276	100.00	100.00	276	WP_256875607.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-1052	NF000501.2	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
2282573672|WP_256875608.1|1|1|blaOXA-1087|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-1087	blaOXA-1087	OXA-10 family class D beta-lactamase OXA-1087	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_256875608.1	OXA-10 family class D beta-lactamase OXA-1087	NF000386.2	OXA-10 family class D beta-lactamase
2282573673|WP_256875609.1|1|1|blaOXA-1119|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-1119	blaOXA-1119	OXA-48 family class D beta-lactamase OXA-1119	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_256875609.1	OXA-48 family class D beta-lactamase OXA-1119	NF000387.2	OXA-48 family class D beta-lactamase
2282573674|WP_256875610.1|1|1|blaOXA-1120|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-1120	blaOXA-1120	OXA-10 family class D beta-lactamase OXA-1120	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_256875610.1	OXA-10 family class D beta-lactamase OXA-1120	NF000386.2	OXA-10 family class D beta-lactamase
2282573675|WP_256875611.1|1|1|blaOXA-1121|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1121	blaOXA-1121	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1121	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_256875611.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1121	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2282573676|WP_256875612.1|1|1|blaOXA-1122|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1122	blaOXA-1122	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1122	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	267	267	100.00	100.00	267	WP_256875612.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1122	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2282573677|WP_256875613.1|1|1|blaOXA-1123|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1123	blaOXA-1123	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1123	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_256875613.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1123	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2282573678|WP_256875614.1|1|1|blaOXA-1126|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1126	blaOXA-1126	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1126	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_256875614.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1126	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
2282573679|WP_256875615.1|1|1|blaOXA-1128|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1128	blaOXA-1128	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1128	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_256875615.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1128	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
2282573680|WP_256875616.1|1|1|blaOXA-1130|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1130	blaOXA-1130	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1130	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_256875616.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1130	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
2282573681|WP_256875617.1|1|1|blaOXA-1134|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1134	blaOXA-1134	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1134	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_256875617.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1134	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
2282573682|WP_256875618.1|1|1|blaOXA-1136|blaOXA-2_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-2_family_class_D_beta-lactamase_OXA-1136	blaOXA-1136	OXA-2 family class D beta-lactamase OXA-1136	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_256875618.1	OXA-2 family class D beta-lactamase OXA-1136	NF000267.2	OXA-2 family class D beta-lactamase
2282573683|WP_256875619.1|1|1|blaOXA-1137|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1137	blaOXA-1137	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1137	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	273	273	100.00	100.00	273	WP_256875619.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1137	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
2282573684|WP_256875620.1|1|1|blaOXA-1138|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1138	blaOXA-1138	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1138	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	273	273	100.00	100.00	273	WP_256875620.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1138	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
2282573685|WP_256875621.1|1|1|blaOXA-1139|blaOXA-143_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-143_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1139	blaOXA-1139	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-1139	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_256875621.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-1139	NF000464.2	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
2282573686|WP_256875622.1|1|1|blaOXA-944|blaOXA-274_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-274_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-944	blaOXA-944	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase OXA-944	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	281	281	100.00	100.00	281	WP_256875622.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase OXA-944	NF033648.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
446509254|WP_000586782.1|1|1|blaOXA-20|blaOXA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-20	blaOXA-20	oxacillin-hydrolyzing class D beta-lactamase OXA-20	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_000586782.1	oxacillin-hydrolyzing class D beta-lactamase OXA-20	NF012161.0	class D beta-lactamase
446636184|WP_000713530.1|1|1|blaOXA-72|blaOXA-24_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-24_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-72	blaOXA-72	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-72	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_000713530.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-72	NF000434.2	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
446644969|WP_000722315.1|1|1|blaOXA-9|blaOXA-9_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-9	blaOXA-9	oxacillin-hydrolyzing class D beta-lactamase OXA-9	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_000722315.1	oxacillin-hydrolyzing class D beta-lactamase OXA-9	NF040532.1	OXA-9 family class D beta-lactamase
446769134|WP_000846390.1|1|1|blaOXA-10|blaOXA-10_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-10	blaOXA-10	oxacillin-hydrolyzing class D beta-lactamase OXA-10	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_000846390.1	oxacillin-hydrolyzing class D beta-lactamase OXA-10	NF000386.2	OXA-10 family class D beta-lactamase
446776753|WP_000854009.1|1|1|blaOXA-235|blaOXA-134_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-134_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-235	blaOXA-235	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-235	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_000854009.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-235	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
446776754|WP_000854010.1|1|1|blaOXA-237|blaOXA-134_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-134_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-237	blaOXA-237	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-237	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_000854010.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-237	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
446930417|WP_001007673.1|1|1|blaOXA-2|blaOXA-2_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-2	blaOXA-2	oxacillin-hydrolyzing class D beta-lactamase OXA-2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_001007673.1	oxacillin-hydrolyzing class D beta-lactamase OXA-2	NF000267.2	OXA-2 family class D beta-lactamase
446944518|WP_001021774.1|1|1|blaOXA-856|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-856	blaOXA-856	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-856	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_001021774.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-856	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944519|WP_001021775.1|1|1|blaOXA-68|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-68	blaOXA-68	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021775.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944520|WP_001021776.1|1|1|blaOXA-91|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-91	blaOXA-91	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-91	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021776.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-91	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944521|WP_001021777.1|1|1|blaOXA-98|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-98	blaOXA-98	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-98	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021777.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-98	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944522|WP_001021778.1|1|1|blaOXA-317|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-317	blaOXA-317	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-317	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021778.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-317	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944523|WP_001021779.1|1|1|blaOXA-69|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-69	blaOXA-69	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021779.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944524|WP_001021780.1|1|1|blaOXA-208|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-208	blaOXA-208	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-208	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021780.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-208	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944525|WP_001021781.1|1|1|blaOXA-90|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-90	blaOXA-90	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-90	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021781.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-90	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944526|WP_001021782.1|1|1|blaOXA-65|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-65	blaOXA-65	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-65	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021782.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-65	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944527|WP_001021783.1|1|1|blaOXA-180|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-180	blaOXA-180	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-180	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021783.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-180	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944528|WP_001021784.1|1|1|blaOXA-259|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-259	blaOXA-259	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-259	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021784.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-259	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944529|WP_001021785.1|1|1|blaOXA-71|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-71	blaOXA-71	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-71	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021785.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-71	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944530|WP_001021786.1|1|1|blaOXA-113|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-113	blaOXA-113	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-113	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021786.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-113	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944531|WP_001021787.1|1|1|blaOXA-312|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-312	blaOXA-312	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-312	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021787.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-312	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944532|WP_001021788.1|1|1|blaOXA-64|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-64	blaOXA-64	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-64	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021788.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-64	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944533|WP_001021789.1|1|1|blaOXA-402|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-402	blaOXA-402	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-402	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021789.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-402	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944536|WP_001021792.1|1|1|blaOXA-66|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-66	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021792.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944537|WP_001021793.1|1|1|blaOXA-82|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-82	blaOXA-82	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-82	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021793.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-82	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944538|WP_001021794.1|1|1|blaOXA-109|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-109	blaOXA-109	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-109	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021794.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-109	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446944539|WP_001021795.1|1|1|blaOXA-100|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-100	blaOXA-100	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-100	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021795.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-100	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446945500|WP_001022756.1|1|1|blaOXA-242|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-242	blaOXA-242	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-242	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001022756.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-242	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446945501|WP_001022757.1|1|1|blaOXA-976|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-976	blaOXA-976	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-976	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_001022757.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-976	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446945502|WP_001022758.1|1|1|blaOXA-223|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-223	blaOXA-223	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-223	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001022758.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-223	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
446948036|WP_001025292.1|1|1|blaOXA-75|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-75	blaOXA-75	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-75	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001025292.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-75	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
