allele,gene_family,refseq_protein_accession,refseq_nucleotide_accession,genbank_protein_accession,genbank_nucleotide_accession,product_name,enhanced_subclass,fasta_header,acc
blaOXA-733,blaOXA,WP_122630844.1,WP_122630844.1,AXQ11762.1,MH780076.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-733,Carbapenemase (OXA-51 family),gb|WP_122630844.1|ARO:3005938|OXA-733 [Acinetobacter baumannii] ,WP_122630844.1
blaOXA-734,blaOXA,WP_122630853.1,WP_122630853.1,AXQ11884.1,MH780092.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-734,Carbapenemase (OXA-51 family),gb|WP_122630853.1|ARO:3005939|OXA-734 [Acinetobacter baumannii] ,WP_122630853.1
blaOXA-735,blaOXA,WP_122630854.1,WP_122630854.1,AXQ11885.1,MH780093.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-735,Carbapenemase (OXA-51 family),gb|WP_122630854.1|ARO:3005940|OXA-735 [Acinetobacter baumannii] ,WP_122630854.1
blaOXA-738,blaOXA,WP_128268238.1,WP_128268238.1,AYP70956.1,MK105925.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-738,Carbapenemase (OXA-51 family),gb|WP_128268238.1|ARO:3005942|OXA-738 [Acinetobacter baumannii] ,WP_128268238.1
blaOXA-739,blaOXA,WP_114225343.1,WP_114225343.1,AXH79878.1,MG717458.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-739,Carbapenemase (OXA-51 family),gb|WP_114225343.1|ARO:3005943|OXA-739 [Acinetobacter baumannii] ,WP_114225343.1
blaOXA-740,blaOXA,WP_128268239.1,WP_128268239.1,AYP70958.1,MK105927.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-740,Carbapenemase (OXA-51 family),gb|WP_128268239.1|ARO:3005944|OXA-740 [Acinetobacter baumannii] ,WP_128268239.1
blaOXA-741,blaOXA,WP_128268240.1,WP_128268240.1,AYP70959.1,MK105928.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-741,Carbapenemase (OXA-51 family),gb|WP_128268240.1|ARO:3005945|OXA-741 [Acinetobacter baumannii] ,WP_128268240.1
blaOXA-742,blaOXA,WP_128268241.1,WP_128268241.1,AYP70960.1,MK105929.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-742,Carbapenemase (OXA-51 family),gb|WP_128268241.1|ARO:3005946|OXA-742 [Acinetobacter baumannii] ,WP_128268241.1
blaOXA-743,blaOXA,WP_128268242.1,WP_128268242.1,AYP70961.1,MK105930.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-743,Carbapenemase (OXA-51 family),gb|WP_128268242.1|ARO:3005947|OXA-743 [Acinetobacter baumannii] ,WP_128268242.1
blaOXA-744,blaOXA,WP_128268243.1,WP_128268243.1,AYP70962.1,MK105931.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-744,Carbapenemase (OXA-51 family),gb|WP_128268243.1|ARO:3005948|OXA-744 [Acinetobacter baumannii] ,WP_128268243.1
blaOXA-745,blaOXA,WP_128268244.1,WP_128268244.1,AYP70963.1,MK105932.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-745,Carbapenemase (OXA-51 family),gb|WP_128268244.1|ARO:3005949|OXA-745 [Acinetobacter baumannii] ,WP_128268244.1
blaOXA-746,blaOXA,WP_128268245.1,WP_128268245.1,AYP70965.1,MK105934.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-746,Carbapenemase (OXA-51 family),gb|WP_128268245.1|ARO:3005950|OXA-746 [Acinetobacter baumannii] ,WP_128268245.1
blaOXA-747,blaOXA,WP_128268246.1,WP_128268246.1,AYP70966.1,MK105935.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-747,Carbapenemase (OXA-51 family),gb|WP_128268246.1|ARO:3005951|OXA-747 [Acinetobacter baumannii] ,WP_128268246.1
blaOXA-748,blaOXA,WP_128268247.1,WP_128268247.1,AYP70968.1,MK105937.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-748,Carbapenemase (OXA-51 family),gb|WP_128268247.1|ARO:3005952|OXA-748 [Acinetobacter baumannii] ,WP_128268247.1
blaOXA-749,blaOXA,WP_128268248.1,WP_128268248.1,AYP70969.1,MK105938.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-749,Carbapenemase (OXA-51 family),gb|WP_128268248.1|ARO:3005953|OXA-749 [Acinetobacter baumannii] ,WP_128268248.1
blaOXA-750,blaOXA,WP_128268249.1,WP_128268249.1,AYP70970.1,MK105939.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-750,Carbapenemase (OXA-51 family),gb|WP_128268249.1|ARO:3005954|OXA-750 [Acinetobacter baumannii] ,WP_128268249.1
blaOXA-751,blaOXA,WP_128268250.1,WP_128268250.1,AYP70971.1,MK105940.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-751,Carbapenemase (OXA-51 family),gb|WP_128268250.1|ARO:3005955|OXA-751 [Acinetobacter baumannii] ,WP_128268250.1
blaOXA-752,blaOXA,WP_128268251.1,WP_128268251.1,AYP70972.1,MK105941.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-752,Carbapenemase (OXA-51 family),gb|WP_128268251.1|ARO:3005956|OXA-752 [Acinetobacter baumannii] ,WP_128268251.1
blaOXA-753,blaOXA,WP_128268252.1,WP_128268252.1,AYP70973.1,MK105942.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-753,Carbapenemase (OXA-51 family),gb|WP_128268252.1|ARO:3005957|OXA-753 [Acinetobacter baumannii] ,WP_128268252.1
blaOXA-754,blaOXA,WP_128268253.1,WP_128268253.1,AYP70974.1,MK105943.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-754,Carbapenemase (OXA-51 family),gb|WP_128268253.1|ARO:3005958|OXA-754 [Acinetobacter baumannii] ,WP_128268253.1
blaOXA-755,blaOXA,WP_128268254.1,WP_128268254.1,AYP70975.1,MK105944.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-755,Carbapenemase (OXA-51 family),gb|WP_128268254.1|ARO:3005959|OXA-755 [Acinetobacter baumannii] ,WP_128268254.1
blaOXA-756,blaOXA,WP_128268255.1,WP_128268255.1,AYP70976.1,MK105945.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-756,Carbapenemase (OXA-51 family),gb|WP_128268255.1|ARO:3005960|OXA-756 [Acinetobacter baumannii] ,WP_128268255.1
blaOXA-757,blaOXA,WP_128268256.1,WP_128268256.1,AYP70977.1,MK105946.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-757,Carbapenemase (OXA-51 family),gb|WP_128268256.1|ARO:3005961|OXA-757 [Acinetobacter baumannii] ,WP_128268256.1
blaOXA-758,blaOXA,WP_128268257.1,WP_128268257.1,AYP70978.1,MK105947.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-758,Carbapenemase (OXA-51 family),gb|WP_128268257.1|ARO:3005962|OXA-758 [Acinetobacter baumannii] ,WP_128268257.1
blaOXA-759,blaOXA,WP_128268258.1,WP_128268258.1,AYP70979.1,MK105948.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-759,Carbapenemase (OXA-51 family),gb|WP_128268258.1|ARO:3005963|OXA-759 [Acinetobacter baumannii] ,WP_128268258.1
blaOXA-76,blaOXA,WP_063864533.1,WP_063864533.1,AAX51234.1,AY949203.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-76,Carbapenemase (OXA-51 family),gb|AAX51234.1|ARO:3001621|OXA-76 [Acinetobacter baumannii] ,AAX51234.1
blaOXA-760,blaOXA,WP_128268259.1,WP_128268259.1,AYP70980.1,MK105949.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-760,Carbapenemase (OXA-51 family),gb|WP_128268259.1|ARO:3005964|OXA-760 [Acinetobacter baumannii] ,WP_128268259.1
blaOXA-761,blaOXA,WP_128268260.1,WP_128268260.1,AYP70981.1,MK105950.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-761,Carbapenemase (OXA-51 family),gb|WP_128268260.1|ARO:3005965|OXA-761 [Acinetobacter baumannii] ,WP_128268260.1
blaOXA-762,blaOXA,WP_128268261.1,WP_128268261.1,AYP70982.1,MK105951.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-762,Carbapenemase (OXA-51 family),gb|WP_128268261.1|ARO:3005966|OXA-762 [Acinetobacter baumannii] ,WP_128268261.1
blaOXA-763,blaOXA,WP_128268262.1,WP_128268262.1,AYP70983.1,MK105952.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-763,Carbapenemase (OXA-51 family),gb|WP_128268262.1|ARO:3005967|OXA-763 [Acinetobacter baumannii] ,WP_128268262.1
blaOXA-764,blaOXA,WP_128268263.1,WP_128268263.1,AYP70984.1,MK105953.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-764,Carbapenemase (OXA-51 family),gb|WP_128268263.1|ARO:3005968|OXA-764 [Acinetobacter baumannii] ,WP_128268263.1
blaOXA-765,blaOXA,WP_128268264.1,WP_128268264.1,AYP70985.1,MK105954.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-765,Carbapenemase (OXA-51 family),gb|WP_128268264.1|ARO:3005969|OXA-765 [Acinetobacter baumannii] ,WP_128268264.1
blaOXA-766,blaOXA,WP_128268265.1,WP_128268265.1,AYP70986.1,MK105955.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-766,Carbapenemase (OXA-51 family),gb|WP_128268265.1|ARO:3005970|OXA-766 [Acinetobacter baumannii] ,WP_128268265.1
blaOXA-767,blaOXA,WP_128268266.1,WP_128268266.1,AYP70987.1,MK105956.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-767,Carbapenemase (OXA-51 family),gb|WP_128268266.1|ARO:3005971|OXA-767 [Acinetobacter baumannii] ,WP_128268266.1
blaOXA-768,blaOXA,WP_128268267.1,WP_128268267.1,AYP70988.1,MK105957.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-768,Carbapenemase (OXA-51 family),gb|WP_128268267.1|ARO:3005972|OXA-768 [Acinetobacter baumannii] ,WP_128268267.1
blaOXA-769,blaOXA,WP_128268268.1,WP_128268268.1,AYP70989.1,MK105958.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-769,Carbapenemase (OXA-51 family),gb|WP_128268268.1|ARO:3005973|OXA-769 [Acinetobacter baumannii] ,WP_128268268.1
blaOXA-77,blaOXA,WP_063864534.1,WP_063864534.1,AAX51233.1,AY949202.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-77,Carbapenemase (OXA-51 family),gb|AAX51233.1|ARO:3001622|OXA-77 [Acinetobacter baumannii] ,AAX51233.1
blaOXA-770,blaOXA,WP_128268269.1,WP_128268269.1,AYP70990.1,MK105959.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-770,Carbapenemase (OXA-51 family),gb|WP_128268269.1|ARO:3005974|OXA-770 [Acinetobacter baumannii] ,WP_128268269.1
blaOXA-771,blaOXA,WP_128268270.1,WP_128268270.1,AYP70991.1,MK105961.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-771,Carbapenemase (OXA-51 family),gb|WP_128268270.1|ARO:3005975|OXA-771 [Acinetobacter baumannii] ,WP_128268270.1
blaOXA-772,blaOXA,WP_128268271.1,WP_128268271.1,AYP70992.1,MK105962.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-772,Carbapenemase (OXA-51 family),gb|WP_128268271.1|ARO:3005976|OXA-772 [Acinetobacter baumannii] ,WP_128268271.1
blaOXA-773,blaOXA,WP_128268272.1,WP_128268272.1,AYP70993.1,MK105963.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-773,Carbapenemase (OXA-51 family),gb|WP_128268272.1|ARO:3005977|OXA-773 [Acinetobacter baumannii] ,WP_128268272.1
blaOXA-774,blaOXA,WP_128268273.1,WP_128268273.1,AYP70996.1,MK105966.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-774,Carbapenemase (OXA-51 family),gb|WP_128268273.1|ARO:3005978|OXA-774 [Acinetobacter baumannii] ,WP_128268273.1
blaOXA-775,blaOXA,WP_128268274.1,WP_128268274.1,AYP70997.1,MK105967.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-775,Carbapenemase (OXA-51 family),gb|WP_128268274.1|ARO:3005979|OXA-775 [Acinetobacter baumannii] ,WP_128268274.1
blaOXA-776,blaOXA,WP_128268275.1,WP_128268275.1,AYP70999.1,MK105969.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-776,Carbapenemase (OXA-51 family),gb|WP_128268275.1|ARO:3005980|OXA-776 [Acinetobacter baumannii] ,WP_128268275.1
blaOXA-78,blaOXA,WP_005139262.1,WP_005139262.1,AAW81358.1,AY862132.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-78,Carbapenemase (OXA-51 family),gb|AAW81358.1|ARO:3001645|OXA-78 [Acinetobacter baumannii] ,AAW81358.1
blaOXA-781,blaOXA,WP_128268276.1,WP_128268276.1,AXH79876.1,MG717456.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-781,Carbapenemase (OXA-51 family),gb|WP_128268276.1|ARO:3005984|OXA-781 [Acinetobacter baumannii] ,WP_128268276.1
blaOXA-782,blaOXA,WP_128268277.1,WP_128268277.1,AXH79877.1,MG717457.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-782,Carbapenemase (OXA-51 family),gb|WP_128268277.1|ARO:3005985|OXA-782 [Acinetobacter baumannii] ,WP_128268277.1
blaOXA-79,blaOXA,WP_063864535.1,WP_063864535.1,ABV71246.1,EU019534.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-79,Carbapenemase (OXA-51 family),gb|ABV71246.1|ARO:3001633|OXA-79 [Acinetobacter baumannii] ,ABV71246.1
blaOXA-797,blaOXA,WP_136512088.1,WP_136512088.1,QBQ03022.1,MK645223.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-797,Carbapenemase (OXA-51 family),gb|WP_136512088.1|ARO:3005997|OXA-797 [Acinetobacter baumannii] ,WP_136512088.1
blaOXA-798,blaOXA,WP_136512089.1,WP_136512089.1,QBQ03023.1,MK645910.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-798,Carbapenemase (OXA-51 family),gb|WP_136512089.1|ARO:3005998|OXA-798 [Acinetobacter baumannii] ,WP_136512089.1
blaOXA-799,blaOXA,WP_136512090.1,WP_136512090.1,QBQ03024.1,MK645911.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-799,Carbapenemase (OXA-51 family),gb|WP_136512090.1|ARO:3005999|OXA-799 [Acinetobacter baumannii] ,WP_136512090.1
blaOXA-80,blaOXA,WP_063864536.1,WP_063864536.1,ABV71247.1,EU019535.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-80,Carbapenemase (OXA-51 family),gb|ABV71247.1|ARO:3001634|OXA-80 [Acinetobacter baumannii] ,ABV71247.1
blaOXA-800,blaOXA,WP_136512091.1,WP_136512091.1,QBQ03025.1,MK645912.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-800,Carbapenemase (OXA-51 family),gb|WP_136512091.1|ARO:3006000|OXA-800 [Acinetobacter baumannii] ,WP_136512091.1
blaOXA-82,blaOXA,WP_001021793.1,WP_001021793.1,ABV71248.1,EU019536.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-82,Carbapenemase (OXA-51 family),gb|ABV71248.1|ARO:3001635|OXA-82 [Acinetobacter baumannii] ,ABV71248.1
blaOXA-828,blaOXA,WP_140423321.1,WP_140423321.1,QCQ81077.1,MK913672.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-828,Carbapenemase (OXA-51 family),gb|WP_140423321.1|ARO:3006025|OXA-828 [Acinetobacter baumannii] ,WP_140423321.1
blaOXA-829,blaOXA,WP_140423322.1,WP_140423322.1,QCQ81078.1,MK913673.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-829,Carbapenemase (OXA-51 family),gb|WP_140423322.1|ARO:3006026|OXA-829 [Acinetobacter baumannii] ,WP_140423322.1
blaOXA-83,blaOXA,WP_057046497.1,WP_057046497.1,ABC26007.1,DQ309277.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-83,Carbapenemase (OXA-51 family),gb|ABC26007.1|ARO:3001623|OXA-83 [Acinetobacter baumannii] ,ABC26007.1
blaOXA-831,blaOXA,WP_140423323.1,WP_140423323.1,QCQ81090.1,MK933721.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-831,Carbapenemase (OXA-51 family),gb|WP_140423323.1|ARO:3006028|OXA-831 [Acinetobacter baumannii] ,WP_140423323.1
blaOXA-834,blaOXA,WP_125052736.1,WP_125052736.1,QCO82814.1,CP039993.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-834,Carbapenemase (OXA-51 family),gb|WP_125052736.1|ARO:3006031|OXA-834 [Acinetobacter baumannii] ,WP_125052736.1
blaOXA-84,blaOXA,WP_063864537.1,WP_063864537.1,ABC26006.1,DQ309276.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-84,Carbapenemase (OXA-51 family),gb|ABC26006.1|ARO:3001624|OXA-84 [Acinetobacter baumannii] ,ABC26006.1
blaOXA-852,blaOXA,WP_152315469.1,WP_152315469.1,QEV81466.1,MN476889.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-852,Carbapenemase (OXA-51 family),gb|WP_152315469.1|ARO:3006044|OXA-852 [Acinetobacter baumannii] ,WP_152315469.1
blaOXA-853,blaOXA,WP_114252036.1,WP_114252036.1,QEV81467.1,MN476890.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-853,Carbapenemase (OXA-51 family),gb|WP_114252036.1|ARO:3006045|OXA-853 [Acinetobacter baumannii] ,WP_114252036.1
blaOXA-854,blaOXA,WP_114158997.1,WP_114158997.1,QEV81468.1,MN476891.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-854,Carbapenemase (OXA-51 family),gb|WP_114158997.1|ARO:3006046|OXA-854 [Acinetobacter baumannii] ,WP_114158997.1
blaOXA-855,blaOXA,WP_032061328.1,WP_032061328.1,QEV81469.1,MN476892.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-855,Carbapenemase (OXA-51 family),gb|WP_032061328.1|ARO:3006047|OXA-855 [Acinetobacter baumannii] ,WP_032061328.1
blaOXA-856,blaOXA,WP_001021774.1,WP_001021774.1,QEV81470.1,MN476893.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-856,Carbapenemase (OXA-51 family),gb|WP_001021774.1|ARO:3006048|OXA-856 [Acinetobacter baumannii] ,WP_001021774.1
blaOXA-857,blaOXA,WP_152315470.1,WP_152315470.1,QEV81471.1,MN476894.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-857,Carbapenemase (OXA-51 family),gb|WP_152315470.1|ARO:3006049|OXA-857 [Acinetobacter baumannii] ,WP_152315470.1
blaOXA-858,blaOXA,WP_152315471.1,WP_152315471.1,QEV81472.1,MN476895.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-858,Carbapenemase (OXA-51 family),gb|WP_152315471.1|ARO:3006050|OXA-858 [Acinetobacter baumannii] ,WP_152315471.1
blaOXA-859,blaOXA,WP_152315472.1,WP_152315472.1,QEV81473.1,MN476896.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-859,Carbapenemase (OXA-51 family),gb|WP_152315472.1|ARO:3006051|OXA-859 [Acinetobacter baumannii] ,WP_152315472.1
blaOXA-86,blaOXA,WP_063864539.1,WP_063864539.1,AAZ78361.1,DQ149247.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-86,Carbapenemase (OXA-51 family),gb|AAZ78361.1|ARO:3001703|OXA-86 [Acinetobacter baumannii] ,AAZ78361.1
blaOXA-860,blaOXA,WP_152315473.1,WP_152315473.1,QEV81474.1,MN476897.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-860,Carbapenemase (OXA-51 family),gb|WP_152315473.1|ARO:3006052|OXA-860 [Acinetobacter baumannii] ,WP_152315473.1
blaOXA-861,blaOXA,WP_152315474.1,WP_152315474.1,QEV81475.1,MN476898.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-861,Carbapenemase (OXA-51 family),gb|WP_152315474.1|ARO:3006053|OXA-861 [Acinetobacter baumannii] ,WP_152315474.1
blaOXA-862,blaOXA,WP_152315475.1,WP_152315475.1,QEV81476.1,MN476901.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-862,Carbapenemase (OXA-51 family),gb|WP_152315475.1|ARO:3006054|OXA-862 [Acinetobacter baumannii] ,WP_152315475.1
blaOXA-863,blaOXA,WP_152315476.1,WP_152315476.1,QEV81477.1,MN476902.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-863,Carbapenemase (OXA-51 family),gb|WP_152315476.1|ARO:3006055|OXA-863 [Acinetobacter baumannii] ,WP_152315476.1
blaOXA-864,blaOXA,WP_152315477.1,WP_152315477.1,QEV81478.1,MN476903.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-864,Carbapenemase (OXA-51 family),gb|WP_152315477.1|ARO:3006056|OXA-864 [Acinetobacter baumannii] ,WP_152315477.1
blaOXA-865,blaOXA,WP_152315478.1,WP_152315478.1,QEV81479.1,MN476904.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-865,Carbapenemase (OXA-51 family),gb|WP_152315478.1|ARO:3006057|OXA-865 [Acinetobacter baumannii] ,WP_152315478.1
blaOXA-866,blaOXA,WP_152315479.1,WP_152315479.1,QEV81480.1,MN476905.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-866,Carbapenemase (OXA-51 family),gb|WP_152315479.1|ARO:3006058|OXA-866 [Acinetobacter baumannii] ,WP_152315479.1
blaOXA-867,blaOXA,WP_152315480.1,WP_152315480.1,QEV81481.1,MN476906.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-867,Carbapenemase (OXA-51 family),gb|WP_152315480.1|ARO:3006059|OXA-867 [Acinetobacter baumannii] ,WP_152315480.1
blaOXA-868,blaOXA,WP_152315481.1,WP_152315481.1,QEV81482.1,MN476907.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-868,Carbapenemase (OXA-51 family),gb|WP_152315481.1|ARO:3006060|OXA-868 [Acinetobacter baumannii] ,WP_152315481.1
blaOXA-869,blaOXA,WP_152315482.1,WP_152315482.1,QEV81483.1,MN476908.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-869,Carbapenemase (OXA-51 family),gb|WP_152315482.1|ARO:3006061|OXA-869 [Acinetobacter baumannii] ,WP_152315482.1
blaOXA-87,blaOXA,WP_032491656.1,WP_032491656.1,ABC84263.1,DQ348075.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-87,Carbapenemase (OXA-51 family),gb|ABC84263.1|ARO:3001704|OXA-87 [Acinetobacter baumannii] ,ABC84263.1
blaOXA-870,blaOXA,WP_152315483.1,WP_152315483.1,QEV81484.1,MN476909.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-870,Carbapenemase (OXA-51 family),gb|WP_152315483.1|ARO:3006062|OXA-870 [Acinetobacter baumannii] ,WP_152315483.1
blaOXA-871,blaOXA,WP_152315484.1,WP_152315484.1,QEV81485.1,MN476910.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-871,Carbapenemase (OXA-51 family),gb|WP_152315484.1|ARO:3006063|OXA-871 [Acinetobacter baumannii] ,WP_152315484.1
blaOXA-872,blaOXA,WP_152315485.1,WP_152315485.1,QEV81486.1,MN476911.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-872,Carbapenemase (OXA-51 family),gb|WP_152315485.1|ARO:3006064|OXA-872 [Acinetobacter baumannii] ,WP_152315485.1
blaOXA-873,blaOXA,WP_152315486.1,WP_152315486.1,QEV81488.1,MN476913.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-873,Carbapenemase (OXA-51 family),gb|WP_152315486.1|ARO:3006065|OXA-873 [Acinetobacter baumannii] ,WP_152315486.1
blaOXA-874,blaOXA,WP_152315487.1,WP_152315487.1,QEV81489.1,MN476914.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-874,Carbapenemase (OXA-51 family),gb|WP_152315487.1|ARO:3006066|OXA-874 [Acinetobacter baumannii] ,WP_152315487.1
blaOXA-875,blaOXA,WP_152315488.1,WP_152315488.1,QEV81490.1,MN476915.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-875,Carbapenemase (OXA-51 family),gb|WP_152315488.1|ARO:3006067|OXA-875 [Acinetobacter baumannii] ,WP_152315488.1
blaOXA-876,blaOXA,WP_152315489.1,WP_152315489.1,QEV81491.1,MN476916.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-876,Carbapenemase (OXA-51 family),gb|WP_152315489.1|ARO:3006068|OXA-876 [Acinetobacter baumannii] ,WP_152315489.1
blaOXA-877,blaOXA,WP_152315490.1,WP_152315490.1,QEV81492.1,MN476917.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-877,Carbapenemase (OXA-51 family),gb|WP_152315490.1|ARO:3006069|OXA-877 [Acinetobacter baumannii] ,WP_152315490.1
blaOXA-878,blaOXA,WP_152315491.1,WP_152315491.1,QEV81493.1,MN476918.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-878,Carbapenemase (OXA-51 family),gb|WP_152315491.1|ARO:3006070|OXA-878 [Acinetobacter baumannii] ,WP_152315491.1
blaOXA-879,blaOXA,WP_152315492.1,WP_152315492.1,QEV81494.1,MN476919.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-879,Carbapenemase (OXA-51 family),gb|WP_152315492.1|ARO:3006071|OXA-879 [Acinetobacter baumannii] ,WP_152315492.1
blaOXA-88,blaOXA,WP_063864540.1,WP_063864540.1,ABD48715.1,DQ392963.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-88,Carbapenemase (OXA-51 family),gb|ABD48715.1|ARO:3001626|OXA-88 [Acinetobacter baumannii] ,ABD48715.1
blaOXA-880,blaOXA,WP_152315493.1,WP_152315493.1,QEV81495.1,MN476920.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-880,Carbapenemase (OXA-51 family),gb|WP_152315493.1|ARO:3006072|OXA-880 [Acinetobacter baumannii] ,WP_152315493.1
blaOXA-881,blaOXA,WP_152315494.1,WP_152315494.1,QEV81496.1,MN476921.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-881,Carbapenemase (OXA-51 family),gb|WP_152315494.1|ARO:3006073|OXA-881 [Acinetobacter baumannii] ,WP_152315494.1
blaOXA-882,blaOXA,WP_152315495.1,WP_152315495.1,QEV81497.1,MN476922.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-882,Carbapenemase (OXA-51 family),gb|WP_152315495.1|ARO:3006074|OXA-882 [Acinetobacter baumannii] ,WP_152315495.1
